adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
4.18185090773137,5,65381,813432,0.0,13290.056478486038,0.20460924998042174,7750,2,exact,9,0.34615384615384615,5.111945871062432e-14,13272.500621796056,0.048927916010143235,0,tolerance,3,0.11538461538461539,primary,near_tie,0.0,26,near_tie_n720_m6_g26_s13,6,720,5,13,26
1.6963606777337967,7,87991,1096296,0.0,13278.60313670933,0.27291820899699815,10429,3,exact,12,0.46153846153846156,4.6734180389505e-13,13264.629518765218,0.1608845409937203,3,tolerance,12,0.46153846153846156,primary,near_tie,0.0,26,near_tie_n720_m6_g26_s14,6,720,5,14,26
1.8059926070256311,8,99080,1235136,0.0,13253.881247238598,0.29493808301049285,11787,4,exact,12,0.46153846153846156,4.995182830400851e-13,13236.805751453323,0.16331079200608656,3,tolerance,12,0.46153846153846156,primary,near_tie,0.0,26,near_tie_n720_m6_g26_s15,6,720,5,15,26
7.1063082505247435,8,198152,2470080,0.0,26615.793663941404,0.6747685419977643,23471,4,exact,12,0.46153846153846156,3.313759828111571e-13,26600.668445574975,0.09495345799950883,0,tolerance,3,0.11538461538461539,primary,near_tie,0.0,37,near_tie_n1440_m6_g37_s11,6,1440,5,11,26
4.9881096473489555,5,130757,1626744,5.335128001038787e-15,26609.16838940015,0.47002458400675096,15802,2,tolerance,9,0.34615384615384615,3.601895391470545e-13,26593.77121767325,0.09422900000936352,0,tolerance,3,0.11538461538461539,primary,near_tie,0.0,37,near_tie_n1440_m6_g37_s12,6,1440,5,12,26
4.955556760998105,5,130757,1626744,7.38961377108837e-15,26603.988783195586,0.46832674997858703,14507,2,tolerance,9,0.34615384615384615,3.9977810501588075e-12,26584.725760951897,0.0945053749892395,0,tolerance,3,0.11538461538461539,primary,near_tie,0.0,37,near_tie_n1440_m6_g37_s13,6,1440,5,13,26
2.0944916610657685,7,175975,2192424,7.917459669570835e-15,26672.919250018254,0.6501393749786075,20967,3,tolerance,12,0.46153846153846156,8.459396133160425e-13,26650.31204671441,0.3104043749917764,3,tolerance,12,0.46153846153846156,primary,near_tie,0.0,37,near_tie_n1440_m6_g37_s14,6,1440,5,14,26
2.2829902923012235,8,198152,2470080,6.276147497132686e-15,26684.598791012457,0.7038271659985185,24724,4,tolerance,12,0.46153846153846156,1.939193138624932e-12,26663.972636509243,0.3082917909778189,3,tolerance,12,0.46153846153846156,primary,near_tie,0.0,37,near_tie_n1440_m6_g37_s15,6,1440,5,15,26
1.3032735208011272,15,88438,1104636,0.0,8458.410728489767,0.26190400001360103,11683,7,exact,24,0.013325930038867296,9.163725434412242e-14,8456.053069864887,0.20095858300919645,7,tolerance,24,0.013325930038867296,primary,many_breakpoints,0.0,18,many_breakpoints_n360_m6_g18_s11,6,360,5,11,1801
1.3633726457022994,15,88438,1104636,0.0,8443.60524112971,0.2595660419901833,11759,7,exact,24,0.013325930038867296,4.191492888786798e-13,8440.75007108555,0.190385249996325,7,tolerance,24,0.013325930038867296,primary,many_breakpoints,0.0,18,many_breakpoints_n360_m6_g18_s12,6,360,5,12,1801
1.3308140329848257,15,88438,1104636,0.0,8443.390300775662,0.26227466700947843,11968,7,exact,24,0.013325930038867296,2.6998153778721814e-12,8440.687994615493,0.19707837497116998,7,tolerance,24,0.013325930038867296,primary,many_breakpoints,0.0,18,many_breakpoints_n360_m6_g18_s13,6,360,5,13,1801
1.3627410766325168,15,88438,1104636,0.0,8454.898102842419,0.25967320799827576,11463,7,exact,24,0.013325930038867296,1.7058221280982992e-12,8451.824944141095,0.19055212501552887,7,tolerance,24,0.013325930038867296,primary,many_breakpoints,0.0,18,many_breakpoints_n360_m6_g18_s14,6,360,5,14,1801
1.3037170946175627,15,88438,1104636,0.0,8445.225993496704,0.26303687499603257,11824,7,exact,24,0.013325930038867296,7.362092358226934e-13,8442.554764984894,0.2017591669864487,7,tolerance,24,0.013325930038867296,primary,many_breakpoints,0.0,18,many_breakpoints_n360_m6_g18_s15,6,360,5,15,1801
1.668454338883499,15,176765,2207760,7.705648550441624e-07,16731.461273349403,0.5847850419813767,23508,7,tolerance,24,0.006664815329075257,7.705661858412466e-07,16705.556305878847,0.3504950829956215,7,tolerance,24,0.006664815329075257,primary,many_breakpoints,0.0,26,many_breakpoints_n720_m6_g26_s11,6,720,5,11,3601
1.4925015105114705,15,176765,2207760,7.873083077593095e-07,16757.01943740681,0.5808162909816019,22621,7,tolerance,24,0.006664815329075257,7.873083179798467e-07,16729.564568734244,0.3891562500211876,7,tolerance,24,0.006664815329075257,primary,many_breakpoints,0.0,26,many_breakpoints_n720_m6_g26_s12,6,720,5,12,3601
1.5504754002454937,15,176765,2207760,7.776688224035827e-07,16721.437555688688,0.579544124979293,23259,7,tolerance,24,0.006664815329075257,7.776692438503223e-07,16694.532958000254,0.37378479199833237,7,tolerance,24,0.006664815329075257,primary,many_breakpoints,0.0,26,many_breakpoints_n720_m6_g26_s13,6,720,5,13,3601
1.587192752599336,15,176765,2207760,7.811914413334927e-07,16723.609492165007,0.5934105000051204,23557,7,tolerance,24,0.006664815329075257,7.811917357083622e-07,16696.10322114701,0.3738742500136141,7,tolerance,24,0.006664815329075257,primary,many_breakpoints,0.0,26,many_breakpoints_n720_m6_g26_s14,6,720,5,14,3601
1.478165566171264,15,176765,2207760,7.89803302753288e-07,16756.933438524728,0.5801832499855664,23044,7,tolerance,24,0.006664815329075257,7.898033305867358e-07,16730.290051575117,0.3925022089970298,7,tolerance,24,0.006664815329075257,primary,many_breakpoints,0.0,26,many_breakpoints_n720_m6_g26_s15,6,720,5,15,3601
2.0228995057451717,17,396478,4953780,2.0763641125977948e-07,33034.3099442191,1.7312948340259027,57568,8,tolerance,27,0.003749479238994584,2.0763646060016733e-07,32884.59932276909,0.8558481670042966,8,tolerance,27,0.003749479238994584,primary,many_breakpoints,0.0,37,many_breakpoints_n1440_m6_g37_s11,6,1440,5,11,7201
1.9302702389869835,17,396478,4953780,2.0661710706858693e-07,33046.2003923433,1.6391770420013927,54129,8,tolerance,27,0.003749479238994584,2.066171855820375e-07,32898.38195821246,0.8491956249927171,8,tolerance,27,0.003749479238994584,primary,many_breakpoints,0.0,37,many_breakpoints_n1440_m6_g37_s12,6,1440,5,12,7201
2.0509523768682003,17,396478,4953780,2.0751760722320766e-07,33042.58781335331,1.7171380000072531,57537,8,tolerance,27,0.003749479238994584,2.0751801133645147e-07,32894.68366388875,0.837239332991885,8,tolerance,27,0.003749479238994584,primary,many_breakpoints,0.0,37,many_breakpoints_n1440_m6_g37_s13,6,1440,5,13,7201
1.9829448084102055,17,396478,4953780,2.089240959274859e-07,33052.52936635516,1.7507144580013119,57306,8,tolerance,27,0.003749479238994584,2.0892419633258203e-07,32899.579547586145,0.8828861250076443,8,tolerance,27,0.003749479238994584,primary,many_breakpoints,0.0,37,many_breakpoints_n1440_m6_g37_s14,6,1440,5,14,7201
2.1762748073321885,17,396478,4953780,2.0837167747391623e-07,33023.57216053908,1.7347422919992823,57722,8,tolerance,27,0.003749479238994584,2.0837187490675216e-07,32872.72612578606,0.797115459019551,8,tolerance,27,0.003749479238994584,primary,many_breakpoints,0.0,37,many_breakpoints_n1440_m6_g37_s15,6,1440,5,15,7201
