construct_seconds,family,instance,method,n,query_seconds,repeat,seed,total_seconds
0.09210666600029072,dense_frontier,dense_frontier_n720_m6_g26_s23,dense,720,0.015989583999726165,2,23,0.10818520799966791
0.09272383400002582,dense_frontier,dense_frontier_n720_m6_g26_s23,dense,720,0.01642145799996797,3,23,0.10923629199987772
0.014792916999795125,dense_frontier,dense_frontier_n720_m6_g26_s23,compressed,720,0.0024802500001896988,3,23,0.01739558300050703
0.014540750000378466,dense_frontier,dense_frontier_n720_m6_g26_s23,compressed,720,0.0025369590002810583,4,23,0.017207542000505782
0.09466841599987674,dense_frontier,dense_frontier_n720_m6_g26_s23,dense,720,0.016296290999889607,4,23,0.11105208400022093
0.0018408750001981389,correlated_risk,correlated_risk_n90_m6_g9_s21,compressed,90,0.00045737499931419734,0,21,0.0023185840000223834
0.010396624999884807,correlated_risk,correlated_risk_n90_m6_g9_s21,dense,90,0.0020087910006623133,0,21,0.012421209000422095
0.010254791999614099,correlated_risk,correlated_risk_n90_m6_g9_s21,dense,90,0.0019624579999799607,1,21,0.012232125000082306
0.00188491700009763,correlated_risk,correlated_risk_n90_m6_g9_s21,compressed,90,0.00043116699998790864,1,21,0.002336916999411187
0.0018022499998551211,correlated_risk,correlated_risk_n90_m6_g9_s21,compressed,90,0.00046129199927236186,2,21,0.002283540999997058
0.010334874999898602,correlated_risk,correlated_risk_n90_m6_g9_s21,dense,90,0.0020191669991618255,2,21,0.012369207999654463
0.010354500000175904,correlated_risk,correlated_risk_n90_m6_g9_s21,dense,90,0.0019853750000038417,3,21,0.012356459000329778
0.0019232080003348528,correlated_risk,correlated_risk_n90_m6_g9_s21,compressed,90,0.00047037500007718336,3,21,0.002412416999504785
0.0017672499998298008,correlated_risk,correlated_risk_n90_m6_g9_s21,compressed,90,0.0004505830002017319,4,21,0.002238541999759036
0.010449999999764259,correlated_risk,correlated_risk_n90_m6_g9_s21,dense,90,0.0019948340004702914,4,21,0.012461541999982728
0.009625167000194779,correlated_risk,correlated_risk_n90_m6_g9_s22,dense,90,0.0019290829995952663,0,22,0.01156937499945343
0.0018075830002999282,correlated_risk,correlated_risk_n90_m6_g9_s22,compressed,90,0.0005299999993439997,0,22,0.0023613329994987
0.001952333000190265,correlated_risk,correlated_risk_n90_m6_g9_s22,compressed,90,0.0004382500001156586,1,22,0.002410541999779525
0.009628499999962514,correlated_risk,correlated_risk_n90_m6_g9_s22,dense,90,0.0019614170005297638,1,22,0.011605749999944237
0.009576458000083221,correlated_risk,correlated_risk_n90_m6_g9_s22,dense,90,0.001982333000341896,2,22,0.011574332999771286
0.0017896250001285807,correlated_risk,correlated_risk_n90_m6_g9_s22,compressed,90,0.000525917000231857,2,22,0.0023413749995597755
0.0018872079999709968,correlated_risk,correlated_risk_n90_m6_g9_s22,compressed,90,0.000496042000122543,3,22,0.002404582999588456
0.009587084000486357,correlated_risk,correlated_risk_n90_m6_g9_s22,dense,90,0.001901249999718857,3,22,0.011503749999974389
0.009506749999673048,correlated_risk,correlated_risk_n90_m6_g9_s22,dense,90,0.0019924580001315917,4,22,0.011515084000166098
0.0018443749995640246,correlated_risk,correlated_risk_n90_m6_g9_s22,compressed,90,0.0004587500006891787,4,22,0.0023245829997904366
0.0019801250000455184,correlated_risk,correlated_risk_n90_m6_g9_s23,compressed,90,0.00044529099977808073,0,23,0.002447165999910794
0.010438416999932087,correlated_risk,correlated_risk_n90_m6_g9_s23,dense,90,0.0020520000007309136,0,23,0.012506207999649632
0.01036991700038925,correlated_risk,correlated_risk_n90_m6_g9_s23,dense,90,0.001961459000085597,1,23,0.012373833000310697
0.002139417000762478,correlated_risk,correlated_risk_n90_m6_g9_s23,compressed,90,0.0004970840000169119,1,23,0.002658625000549364
0.001885874999970838,correlated_risk,correlated_risk_n90_m6_g9_s23,compressed,90,0.00047850000009930227,2,23,0.002396416000010504
0.010302959000000556,correlated_risk,correlated_risk_n90_m6_g9_s23,dense,90,0.0019571670000004815,2,23,0.012278082999728213
0.01102012499995908,correlated_risk,correlated_risk_n90_m6_g9_s23,dense,90,0.002090416999635636,3,23,0.013127541999892856
0.0019739579993256484,correlated_risk,correlated_risk_n90_m6_g9_s23,compressed,90,0.0005265409999992698,3,23,0.0025243750005756738
0.0020464589997573057,correlated_risk,correlated_risk_n90_m6_g9_s23,compressed,90,0.0006202920003488543,4,23,0.002689207999537757
0.011201583000001847,correlated_risk,correlated_risk_n90_m6_g9_s23,dense,90,0.0020752910004375735,4,23,0.013295124999785912
0.004002749999926891,correlated_risk,correlated_risk_n180_m6_g13_s21,compressed,180,0.0009404590000485769,0,21,0.0049759580006139
0.024916792000112764,correlated_risk,correlated_risk_n180_m6_g13_s21,dense,180,0.0042479590001676115,0,21,0.02919000000019878
0.02653137500055891,correlated_risk,correlated_risk_n180_m6_g13_s21,dense,180,0.0045944169996801065,1,21,0.031161457999587583
0.0037803330005772295,correlated_risk,correlated_risk_n180_m6_g13_s21,compressed,180,0.0007620829992447398,1,21,0.0045787919998474536
0.0038193749996935367,correlated_risk,correlated_risk_n180_m6_g13_s21,compressed,180,0.0007293329999811249,2,21,0.00458249999974214
0.02274620899970614,correlated_risk,correlated_risk_n180_m6_g13_s21,dense,180,0.00425445899963961,2,21,0.0270286249997298
0.022792666999521316,correlated_risk,correlated_risk_n180_m6_g13_s21,dense,180,0.004212958000607614,3,21,0.027031333000195445
0.003569291999156121,correlated_risk,correlated_risk_n180_m6_g13_s21,compressed,180,0.0007532500003435416,3,21,0.004371834000266972
0.0036478330002864823,correlated_risk,correlated_risk_n180_m6_g13_s21,compressed,180,0.0007935839994388516,4,21,0.004476833999433438
0.022788124999351567,correlated_risk,correlated_risk_n180_m6_g13_s21,dense,180,0.003943542000342859,4,21,0.026756499999464722
0.02177891599967552,correlated_risk,correlated_risk_n180_m6_g13_s22,dense,180,0.0040376659999310505,0,22,0.02584433300035016
0.0036165000001346925,correlated_risk,correlated_risk_n180_m6_g13_s22,compressed,180,0.0007245830001920694,0,22,0.004375249999611697
0.0035716669999601436,correlated_risk,correlated_risk_n180_m6_g13_s22,compressed,180,0.0006789160006519523,1,22,0.004292249999707565
0.022003125000082946,correlated_risk,correlated_risk_n180_m6_g13_s22,dense,180,0.004355624999334395,1,22,0.02638529199975892
0.02170612500049174,correlated_risk,correlated_risk_n180_m6_g13_s22,dense,180,0.00410333299987542,2,22,0.025838874999863037
0.0034452079999027774,correlated_risk,correlated_risk_n180_m6_g13_s22,compressed,180,0.0006962499992368976,2,22,0.004178292000688089
0.0035956250003437162,correlated_risk,correlated_risk_n180_m6_g13_s22,compressed,180,0.0007048750003377791,3,22,0.00433420900026249
0.02155837500049529,correlated_risk,correlated_risk_n180_m6_g13_s22,dense,180,0.004133792000175163,3,22,0.025717958000313956
0.021979000000101223,correlated_risk,correlated_risk_n180_m6_g13_s22,dense,180,0.004021165999802179,4,22,0.026026292000096873
0.003910000000360014,correlated_risk,correlated_risk_n180_m6_g13_s22,compressed,180,0.0009043339996424038,4,22,0.00484891699943546
0.003478083000118204,correlated_risk,correlated_risk_n180_m6_g13_s23,compressed,180,0.0007762499999444117,0,23,0.004290208000384155
0.0224507499997344,correlated_risk,correlated_risk_n180_m6_g13_s23,dense,180,0.004014791999907175,0,23,0.026493542000025627
0.02240470800006733,correlated_risk,correlated_risk_n180_m6_g13_s23,dense,180,0.004070541000146477,1,23,0.02650079100021685
0.003463375000137603,correlated_risk,correlated_risk_n180_m6_g13_s23,compressed,180,0.0006971669999984442,1,23,0.004194166999695881
0.0035264589996586437,correlated_risk,correlated_risk_n180_m6_g13_s23,compressed,180,0.0007597080002597068,2,23,0.004319542000303045
0.022236249999878055,correlated_risk,correlated_risk_n180_m6_g13_s23,dense,180,0.004105874999368098,2,23,0.026365624999925785
0.02208479199998692,correlated_risk,correlated_risk_n180_m6_g13_s23,dense,180,0.0040075420001812745,3,23,0.026119291999748384
0.0034515840006861254,correlated_risk,correlated_risk_n180_m6_g13_s23,compressed,180,0.0007870419995015254,3,23,0.004275334000340081
0.0034673749996727565,correlated_risk,correlated_risk_n180_m6_g13_s23,compressed,180,0.0007408329993268126,4,23,0.004243999999744119
0.022337499999594,correlated_risk,correlated_risk_n180_m6_g13_s23,dense,180,0.004148125000028813,4,23,0.026512417000049027
0.0068254999996497645,correlated_risk,correlated_risk_n360_m6_g18_s21,compressed,360,0.0012272920002942556,0,21,0.008114541999930225
