compressed_query_seconds,compressed_storage_bytes,compressed_total_seconds,dense_query_seconds,dense_storage_bytes,dense_total_seconds,family,identity_error,instance,n,options,query_speedup,repeats,seed,storage_ratio,theta_count,total_speedup
0.0004982090003977646,45292,0.0023661669993089163,0.0021013329997003893,117056,0.013848000000507454,near_tie,3.637978807091713e-11,near_tie_n90_m6_g9_s22,90,540,4.217774062738144,5,22,2.584474079307604,26,5.852503227604824
0.00046891599959053565,45292,0.002403125000455475,0.002074500000162516,117056,0.013845958999809227,near_tie,9.458744898438454e-11,near_tie_n90_m6_g9_s23,90,540,4.424033306549573,5,23,2.584474079307604,26,5.761647437060053
0.0007228340000438038,89752,0.004258041999491979,0.004040374999931373,233696,0.027377333000004,near_tie,4.3655745685100555e-10,near_tie_n180_m6_g13_s21,180,1080,5.589630537144802,5,21,2.603797129868972,26,6.429559173740031
0.000727375000678876,89752,0.004269791999831796,0.004115667000405665,233696,0.027551999999559484,near_tie,4.656612873077393e-10,near_tie_n180_m6_g13_s22,180,1080,5.658246429371943,5,22,2.603797129868972,26,6.452773343676898
0.0007162499996411498,89752,0.004320207999626291,0.0040549589994043345,233696,0.027286042000014277,near_tie,3.2014213502407074e-10,near_tie_n180_m6_g13_s23,180,1080,5.661373823994303,5,23,2.603797129868972,26,6.315909327137626
0.0012006249999103602,178672,0.008061624999754713,0.00816225000016857,466976,0.05418312499932654,near_tie,1.2223608791828156e-09,near_tie_n360_m6_g18_s21,360,2160,6.798334201584983,5,21,2.613593624070923,26,6.721117020572793
0.001208833000418963,178672,0.008037958999921102,0.008217500000682776,466976,0.05449037499965925,near_tie,9.022187441587448e-10,near_tie_n360_m6_g18_s22,360,2160,6.797878613369024,5,22,2.613593624070923,26,6.779130747020993
0.001241416999619105,178672,0.00806691699926887,0.008090583999546652,466976,0.05442608300018037,near_tie,6.111804395914078e-10,near_tie_n360_m6_g18_s23,360,2160,6.517217020573287,5,23,2.613593624070923,26,6.746825708645964
0.0022852090005471837,356512,0.015790750000633125,0.01631504200031486,933536,0.10962720899988199,near_tie,6.2282197177410126e-09,near_tie_n720_m6_g26_s21,720,4320,7.139409129059221,5,21,2.6185261646171796,26,6.942495384670552
0.0023403750001307344,356512,0.016083333999631577,0.016567791999477777,933536,0.11264604200005124,near_tie,6.984919309616089e-09,near_tie_n720_m6_g26_s22,720,4320,7.079118516713045,5,22,2.6185261646171796,26,7.003898694302539
0.002253499999824271,356512,0.015562457999294566,0.01621658300064155,933536,0.10915291699984664,near_tie,7.62520357966423e-09,near_tie_n720_m6_g26_s23,720,4320,7.196176171247449,5,23,2.6185261646171796,26,7.013860985507203
0.0005120000005263137,55492,0.0024730830000407877,0.007437000000209082,1959856,0.20585841600041022,many_breakpoints,7.275957614183426e-11,many_breakpoints_n90_m6_g9_s21,90,540,14.525390610476896,5,21,35.317811576443454,451,83.23959042095031
0.0005195419998926809,55492,0.002485459000126866,0.007382916000096884,1959856,0.20409420900068653,many_breakpoints,8.731149137020111e-11,many_breakpoints_n90_m6_g9_s22,90,540,14.210431498554371,5,22,35.317811576443454,451,82.11529902133525
0.0005116249994898681,55492,0.0024355830000786227,0.007420709000143688,1959856,0.20894408300046052,many_breakpoints,7.275957614183426e-11,many_breakpoints_n90_m6_g9_s23,90,540,14.504195470398713,5,23,35.317811576443454,451,85.78811848896778
0.0008164159999068943,110752,0.004502167000282498,0.02700333299981139,7807696,0.837832499999422,many_breakpoints,3.346940502524376e-10,many_breakpoints_n180_m6_g13_s21,180,1080,33.07545785836008,5,21,70.49711066165848,901,186.09538472181296
0.0007994999996299157,110752,0.004425500000252214,0.02690062500005297,7807696,0.8342612079995888,many_breakpoints,3.7834979593753815e-10,many_breakpoints_n180_m6_g13_s22,180,1080,33.64681052220779,5,22,70.49711066165848,901,188.5123054913667
0.000804207999863138,110752,0.004527916999904846,0.027078291000179888,7807696,0.8424756250005885,many_breakpoints,4.220055416226387e-10,many_breakpoints_n180_m6_g13_s23,180,1080,33.67075558162582,5,23,70.49711066165848,901,186.06251506339294
0.001518624999334861,221272,0.008567708000555285,0.0978762499998993,31167376,3.4124379159993623,many_breakpoints,1.1350493878126144e-09,many_breakpoints_n360_m6_g18_s21,360,2160,64.45057209170656,5,21,140.8554900755631,1801,398.290641531924
0.0014362910005729645,221272,0.00843095800064475,0.09770754100009071,31167376,3.4050824160003685,many_breakpoints,1.1641532182693481e-09,many_breakpoints_n360_m6_g18_s22,360,2160,68.02767751180872,5,22,140.8554900755631,1801,403.8784697705727
0.001533582999400096,221272,0.00857724999968923,0.09786370800065924,31167376,3.3999066249998577,many_breakpoints,1.3387762010097504e-09,many_breakpoints_n360_m6_g18_s23,360,2160,63.81376687074738,5,23,140.8554900755631,1801,396.3865603920887
0.002946167000118294,442312,0.016703041999790003,0.3699205000002621,124542736,13.819908832999317,many_breakpoints,4.831235855817795e-09,many_breakpoints_n720_m6_g26_s21,720,4320,125.55992242985857,5,21,281.5721391235146,3601,827.3887375229654
0.003003957999681006,442312,0.0166420420000577,0.3699477919999481,124542736,13.865322749999905,many_breakpoints,5.529727786779404e-09,many_breakpoints_n720_m6_g26_s22,720,4320,123.15345022774396,5,22,281.5721391235146,3601,833.1503279436401
0.0030295840006147046,442312,0.016746874999626016,0.37240483299956395,124542736,13.860450666999895,many_breakpoints,3.899913281202316e-09,many_breakpoints_n720_m6_g26_s23,720,4320,122.92276197788303,5,23,281.5721391235146,3601,827.6440032728149
