family,instance,method,n,repeat,seconds,seed
many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,1,0.05853312499948515,52
many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,2,0.05657220800003415,52
many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,0,0.08554133300003741,52
many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,1,0.08726449999994657,52
many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,2,0.08298233299956337,52
many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,0,0.13446087499960413,51
many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,1,0.1238963750001858,51
many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,2,0.11908920800033229,51
many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,0,0.25908179199996084,51
many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,1,0.2542487090004215,51
many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,2,0.2581116250003106,51
many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,0,0.11802754099971935,52
many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,1,0.1192393750006886,52
many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,2,0.11799087500003225,52
many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,0,0.2416097080003965,52
many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,1,0.2413277499999822,52
many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,2,0.23938349999934871,52
many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,0,0.25931658299941773,51
many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,1,0.2720361669998965,51
many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,2,0.2600839160004398,51
many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,0,0.8428367920005257,51
many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,1,0.8768636250006239,51
many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,2,0.8559924579994913,51
many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,0,0.2604674590002105,52
many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,1,0.26480725000055827,52
many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,2,0.25859195799966983,52
many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,0,0.8290308330006155,52
many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,1,0.8369067499997982,52
many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,2,0.868142583000008,52
